-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M
22.0,73.75,2020,1,75.04
22.0,74.375,2020,1,76.14
22.0,75.0,2020,1,79.56
22.0,75.625,2020,1,83.48
22.0,76.25,2020,1,85.64
22.0,76.875,2020,1,83.91
22.0,77.5,2020,1,84.98
22.0,78.125,2020,1,88.76
22.0,78.75,2020,1,89.91
22.0,79.375,2020,1,87.89
22.0,80.0,2020,1,83.4
22.0,80.625,2020,1,85.21
20.0,73.125,2020,2,75.41
20.0,73.75,2020,2,73.27
20.0,74.375,2020,2,69.14
20.0,75.0,2020,2,66.23
20.0,75.625,2020,2,70.4
20.0,76.25,2020,2,74.11
20.0,76.875,2020,2,78.72
20.0,77.5,2020,2,83.11
20.0,78.125,2020,2,86.22
20.0,78.75,2020,2,87.45
20.0,79.375,2020,2,86.18
20.0,80.0,2020,2,83.11
20.0,80.625,2020,2,81.53
20.5,73.125,2020,2,76.27
20.5,73.75,2020,2,74.11
20.5,74.375,2020,2,68.71
20.5,75.0,2020,2,68.86
20.5,75.625,2020,2,74.57
20.5,76.25,2020,2,78.28
20.5,76.875,2020,2,81.55
20.5,77.5,2020,2,85.37
20.5,78.125,2020,2,89.02
20.5,78.75,2020,2,90.63
20.5,79.375,2020,2,90.85
20.5,80.0,2020,2,90.07
20.5,80.625,2020,2,89.17
21.0,73.125,2020,2,75.85
21.0,73.75,2020,2,74.42
21.0,74.375,2020,2,70.94
21.0,75.0,2020,2,72.07
21.0,75.625,2020,2,76.7
21.0,76.25,2020,2,80.62
21.0,76.875,2020,2,82.77
21.0,77.5,2020,2,85.74
21.0,78.125,2020,2,89.37
21.0,78.75,2020,2,92.15
21.0,79.375,2020,2,91.55
21.0,80.0,2020,2,90.65
21.0,80.625,2020,2,91.22
21.5,73.125,2020,2,75.66
21.5,73.75,2020,2,74.37
21.5,74.375,2020,2,73.49
21.5,75.0,2020,2,75.36
21.5,75.625,2020,2,79.01
21.5,76.25,2020,2,81.74
21.5,76.875,2020,2,83.79
21.5,77.5,2020,2,87.18
21.5,78.125,2020,2,90.02
21.5,78.75,2020,2,92.53
21.5,79.375,2020,2,92.52
21.5,80.0,2020,2,90.26
21.5,80.625,2020,2,89.79
22.0,73.125,2020,2,77.39
22.0,73.75,2020,2,74.71
22.0,74.375,2020,2,76.25
22.0,75.0,2020,2,77.81
22.0,75.625,2020,2,80.11
22.0,76.25,2020,2,82.06
22.0,76.875,2020,2,81.95
22.0,77.5,2020,2,83.97
22.0,78.125,2020,2,87.64
22.0,78.75,2020,2,90.5
22.0,79.375,2020,2,92.83
22.0,80.0,2020,2,91.96
22.0,80.625,2020,2,91.58
20.0,73.125,2020,3,67.03
20.0,73.75,2020,3,73.18
20.0,74.375,2020,3,72.96
20.0,75.0,2020,3,72.49
20.0,75.625,2020,3,75.62
20.0,76.25,2020,3,78.22
20.0,76.875,2020,3,78.41
20.0,77.5,2020,3,80.11
20.0,78.125,2020,3,82.16
20.0,78.75,2020,3,83.35
20.0,79.375,2020,3,83.19
20.0,80.0,2020,3,85.13
20.0,80.625,2020,3,91.76
20.5,73.125,2020,3,67.88
20.5,73.75,2020,3,71.62
20.5,74.375,2020,3,72.93
20.5,75.0,2020,3,74.39
20.5,75.625,2020,3,78.74
20.5,76.25,2020,3,81.45
20.5,76.875,2020,3,80.56
20.5,77.5,2020,3,81.04
20.5,78.125,2020,3,83.57
20.5,78.75,2020,3,84.53
20.5,79.375,2020,3,83.77
20.5,80.0,2020,3,84.86
20.5,80.625,2020,3,90.27
21.0,73.125,2020,3,68.44
21.0,73.75,2020,3,70.08
21.0,74.375,2020,3,72.39
21.0,75.0,2020,3,74.17
21.0,75.625,2020,3,78.61
21.0,76.25,2020,3,81.8
21.0,76.875,2020,3,80.54
21.0,77.5,2020,3,80.35
21.0,78.125,2020,3,81.91
21.0,78.75,2020,3,83.96
21.0,79.375,2020,3,83.32
21.0,80.0,2020,3,82.79
21.0,80.625,2020,3,86.46
21.5,73.125,2020,3,68.94
21.5,73.75,2020,3,69.28
21.5,74.375,2020,3,71.8
21.5,75.0,2020,3,73.88
21.5,75.625,2020,3,79.0
21.5,76.25,2020,3,81.92
21.5,76.875,2020,3,81.31
21.5,77.5,2020,3,80.82
21.5,78.125,2020,3,82.02
21.5,78.75,2020,3,82.95
21.5,79.375,2020,3,82.84
21.5,80.0,2020,3,80.8
21.5,80.625,2020,3,82.43
22.0,73.125,2020,3,70.98
22.0,73.75,2020,3,68.15
22.0,74.375,2020,3,71.85
22.0,75.0,2020,3,74.05
22.0,75.625,2020,3,77.47
22.0,76.25,2020,3,80.08
22.0,76.875,2020,3,80.17
22.0,77.5,2020,3,78.95
22.0,78.125,2020,3,81.56
22.0,78.75,2020,3,83.39
22.0,79.375,2020,3,84.81
22.0,80.0,2020,3,84.78
22.0,80.625,2020,3,84.04
20.0,73.125,2020,4,59.29
20.0,73.75,2020,4,69.4
20.0,74.375,2020,4,73.4
20.0,75.0,2020,4,72.71
20.0,75.625,2020,4,75.92
20.0,76.25,2020,4,77.48
20.0,76.875,2020,4,76.74
20.0,77.5,2020,4,76.78
20.0,78.125,2020,4,77.64
20.0,78.75,2020,4,78.66
20.0,79.375,2020,4,78.81
20.0,80.0,2020,4,77.83
20.0,80.625,2020,4,80.44
20.5,73.125,2020,4,58.44
20.5,73.75,2020,4,66.34
20.5,74.375,2020,4,71.71
20.5,75.0,2020,4,73.83
20.5,75.625,2020,4,77.85
20.5,76.25,2020,4,79.68
20.5,76.875,2020,4,78.55
20.5,77.5,2020,4,79.09
20.5,78.125,2020,4,81.15
20.5,78.75,2020,4,83.57
20.5,79.375,2020,4,82.71
20.5,80.0,2020,4,82.51
20.5,80.625,2020,4,85.53
21.0,73.125,2020,4,60.78
21.0,73.75,2020,4,65.56
21.0,74.375,2020,4,70.38
21.0,75.0,2020,4,72.16
21.0,75.625,2020,4,76.02
21.0,76.25,2020,4,77.91
21.0,76.875,2020,4,76.46
21.0,77.5,2020,4,78.01
21.0,78.125,2020,4,81.91
21.0,78.75,2020,4,86.21
21.0,79.375,2020,4,84.88
21.0,80.0,2020,4,82.12
21.0,80.625,2020,4,82.87
21.5,73.125,2020,4,62.31
21.5,73.75,2020,4,65.34
21.5,74.375,2020,4,69.21
21.5,75.0,2020,4,71.05
21.5,75.625,2020,4,75.48
21.5,76.25,2020,4,77.87
21.5,76.875,2020,4,75.91
21.5,77.5,2020,4,77.46
21.5,78.125,2020,4,80.06
21.5,78.75,2020,4,83.82
21.5,79.375,2020,4,85.12
21.5,80.0,2020,4,82.99
21.5,80.625,2020,4,81.44
22.0,73.125,2020,4,63.8
22.0,73.75,2020,4,62.98
22.0,74.375,2020,4,69.07
22.0,75.0,2020,4,71.45
22.0,75.625,2020,4,73.87
22.0,76.25,2020,4,76.07
22.0,76.875,2020,4,74.34
22.0,77.5,2020,4,74.15
22.0,78.125,2020,4,78.16
22.0,78.75,2020,4,81.31
22.0,79.375,2020,4,84.33
22.0,80.0,2020,4,84.1
22.0,80.625,2020,4,84.39
20.0,73.125,2020,5,57.86
20.0,73.75,2020,5,69.5
20.0,74.375,2020,5,71.37
20.0,75.0,2020,5,68.36
20.0,75.625,2020,5,70.33
20.0,76.25,2020,5,71.26
20.0,76.875,2020,5,70.45
20.0,77.5,2020,5,70.21
20.0,78.125,2020,5,70.72
20.0,78.75,2020,5,72.25
20.0,79.375,2020,5,73.84
20.0,80.0,2020,5,75.37
20.0,80.625,2020,5,79.12
20.5,73.125,2020,5,55.12
20.5,73.75,2020,5,65.05
20.5,74.375,2020,5,70.06
20.5,75.0,2020,5,69.21
20.5,75.625,2020,5,71.96
20.5,76.25,2020,5,72.9
20.5,76.875,2020,5,70.35
20.5,77.5,2020,5,69.57
20.5,78.125,2020,5,71.3
20.5,78.75,2020,5,73.2
20.5,79.375,2020,5,74.55
20.5,80.0,2020,5,77.59
20.5,80.625,2020,5,82.98
21.0,73.125,2020,5,56.53
21.0,73.75,2020,5,61.11
21.0,74.375,2020,5,66.75
21.0,75.0,2020,5,67.12
21.0,75.625,2020,5,69.67
21.0,76.25,2020,5,70.03
21.0,76.875,2020,5,66.53
21.0,77.5,2020,5,66.04
21.0,78.125,2020,5,69.97
21.0,78.75,2020,5,72.98
21.0,79.375,2020,5,72.12
21.0,80.0,2020,5,72.49
21.0,80.625,2020,5,77.56
21.5,73.125,2020,5,57.56
21.5,73.75,2020,5,58.59
21.5,74.375,2020,5,62.6
21.5,75.0,2020,5,65.04
21.5,75.625,2020,5,69.19
21.5,76.25,2020,5,69.22
21.5,76.875,2020,5,65.91
21.5,77.5,2020,5,66.44
21.5,78.125,2020,5,69.12
21.5,78.75,2020,5,70.86
21.5,79.375,2020,5,71.22
21.5,80.0,2020,5,68.93
21.5,80.625,2020,5,71.02
22.0,73.125,2020,5,58.19
22.0,73.75,2020,5,55.85
22.0,74.375,2020,5,61.69
22.0,75.0,2020,5,65.26
22.0,75.625,2020,5,68.79
22.0,76.25,2020,5,70.45
22.0,76.875,2020,5,66.67
22.0,77.5,2020,5,66.71
22.0,78.125,2020,5,69.3
22.0,78.75,2020,5,71.96
22.0,79.375,2020,5,73.39
22.0,80.0,2020,5,71.44
22.0,80.625,2020,5,70.37
20.0,73.125,2020,6,58.8
20.0,73.75,2020,6,65.39
20.0,74.375,2020,6,66.46
20.0,75.0,2020,6,65.76
20.0,75.625,2020,6,67.84
20.0,76.25,2020,6,68.15
20.0,76.875,2020,6,66.39
20.0,77.5,2020,6,65.45
20.0,78.125,2020,6,66.08
20.0,78.75,2020,6,68.37
20.0,79.375,2020,6,68.76
20.0,80.0,2020,6,67.23
20.0,80.625,2020,6,70.8
20.5,73.125,2020,6,54.94
20.5,73.75,2020,6,61.12
20.5,74.375,2020,6,65.53
20.5,75.0,2020,6,66.61
20.5,75.625,2020,6,69.52
20.5,76.25,2020,6,71.12
20.5,76.875,2020,6,68.32
20.5,77.5,2020,6,66.58
20.5,78.125,2020,6,67.2
20.5,78.75,2020,6,69.97
20.5,79.375,2020,6,71.34
20.5,80.0,2020,6,72.47
20.5,80.625,2020,6,77.23
21.0,73.125,2020,6,55.39
21.0,73.75,2020,6,59.05
21.0,74.375,2020,6,66.09
21.0,75.0,2020,6,67.52
21.0,75.625,2020,6,69.88
21.0,76.25,2020,6,70.95
21.0,76.875,2020,6,66.53
21.0,77.5,2020,6,65.35
21.0,78.125,2020,6,68.18
21.0,78.75,2020,6,70.31
21.0,79.375,2020,6,69.25
21.0,80.0,2020,6,69.46
21.0,80.625,2020,6,73.88
21.5,73.125,2020,6,57.85
21.5,73.75,2020,6,59.33
21.5,74.375,2020,6,65.76
21.5,75.0,2020,6,67.96
21.5,75.625,2020,6,70.64
21.5,76.25,2020,6,69.57
21.5,76.875,2020,6,64.41
21.5,77.5,2020,6,65.23
21.5,78.125,2020,6,68.31
21.5,78.75,2020,6,67.39
21.5,79.375,2020,6,64.94
21.5,80.0,2020,6,63.4
21.5,80.625,2020,6,67.01
22.0,73.125,2020,6,59.86
22.0,73.75,2020,6,57.71
22.0,74.375,2020,6,64.29
22.0,75.0,2020,6,66.96
22.0,75.625,2020,6,68.28
22.0,76.25,2020,6,66.5
22.0,76.875,2020,6,61.74
22.0,77.5,2020,6,62.24
22.0,78.125,2020,6,66.5
22.0,78.75,2020,6,67.31
22.0,79.375,2020,6,65.17
22.0,80.0,2020,6,62.0
22.0,80.625,2020,6,63.73
20.0,73.125,2020,7,63.91
20.0,73.75,2020,7,72.39
20.0,74.375,2020,7,75.78
20.0,75.0,2020,7,71.74
20.0,75.625,2020,7,70.06
20.0,76.25,2020,7,71.08
20.0,76.875,2020,7,69.51
20.0,77.5,2020,7,68.22
20.0,78.125,2020,7,69.21
20.0,78.75,2020,7,71.57
20.0,79.375,2020,7,72.11
20.0,80.0,2020,7,69.99
20.0,80.625,2020,7,70.52
20.5,73.125,2020,7,61.07
20.5,73.75,2020,7,66.96
20.5,74.375,2020,7,71.39
20.5,75.0,2020,7,69.18
20.5,75.625,2020,7,70.36
20.5,76.25,2020,7,72.77
20.5,76.875,2020,7,70.98
20.5,77.5,2020,7,70.2
20.5,78.125,2020,7,72.09
20.5,78.75,2020,7,74.92
20.5,79.375,2020,7,74.86
20.5,80.0,2020,7,73.22
20.5,80.625,2020,7,75.78
21.0,73.125,2020,7,61.98
21.0,73.75,2020,7,63.14
21.0,74.375,2020,7,68.85
21.0,75.0,2020,7,68.85
21.0,75.625,2020,7,71.3
21.0,76.25,2020,7,72.57
21.0,76.875,2020,7,69.26
21.0,77.5,2020,7,69.27
21.0,78.125,2020,7,72.62
21.0,78.75,2020,7,76.31
21.0,79.375,2020,7,73.93
21.0,80.0,2020,7,70.13
21.0,80.625,2020,7,71.55
21.5,73.125,2020,7,64.57
21.5,73.75,2020,7,63.76
21.5,74.375,2020,7,68.81
21.5,75.0,2020,7,70.01
21.5,75.625,2020,7,72.66
21.5,76.25,2020,7,72.66
21.5,76.875,2020,7,67.31
21.5,77.5,2020,7,69.04
21.5,78.125,2020,7,73.42
21.5,78.75,2020,7,74.44
21.5,79.375,2020,7,71.79
21.5,80.0,2020,7,67.99
21.5,80.625,2020,7,67.59
22.0,73.125,2020,7,66.82
22.0,73.75,2020,7,63.38
22.0,74.375,2020,7,68.16
22.0,75.0,2020,7,69.15
22.0,75.625,2020,7,70.95
22.0,76.25,2020,7,71.41
22.0,76.875,2020,7,64.91
22.0,77.5,2020,7,64.37
22.0,78.125,2020,7,69.69
22.0,78.75,2020,7,73.14
22.0,79.375,2020,7,73.66
22.0,80.0,2020,7,70.82
22.0,80.625,2020,7,67.45
20.0,73.125,2020,8,71.38
20.0,73.75,2020,8,77.33
20.0,74.375,2020,8,75.7
20.0,75.0,2020,8,71.93
20.0,75.625,2020,8,74.59
20.0,76.25,2020,8,78.63
20.0,76.875,2020,8,79.75
20.0,77.5,2020,8,79.92
20.0,78.125,2020,8,78.84
20.0,78.75,2020,8,80.11
20.0,79.375,2020,8,79.69
20.0,80.0,2020,8,76.27
20.0,80.625,2020,8,74.58
20.5,73.125,2020,8,69.46
20.5,73.75,2020,8,75.54
20.5,74.375,2020,8,73.72
20.5,75.0,2020,8,70.05
20.5,75.625,2020,8,74.84
20.5,76.25,2020,8,80.95
20.5,76.875,2020,8,82.37
20.5,77.5,2020,8,82.5
20.5,78.125,2020,8,80.92
20.5,78.75,2020,8,82.59
20.5,79.375,2020,8,82.45
20.5,80.0,2020,8,80.33
20.5,80.625,2020,8,80.06
21.0,73.125,2020,8,69.25
21.0,73.75,2020,8,72.45
21.0,74.375,2020,8,71.84
21.0,75.0,2020,8,68.4
21.0,75.625,2020,8,73.6
21.0,76.25,2020,8,79.89
21.0,76.875,2020,8,82.28
21.0,77.5,2020,8,83.73
21.0,78.125,2020,8,84.21
21.0,78.75,2020,8,86.56
21.0,79.375,2020,8,85.31
21.0,80.0,2020,8,82.39
21.0,80.625,2020,8,81.85
21.5,73.125,2020,8,67.59
21.5,73.75,2020,8,67.99
21.5,74.375,2020,8,69.43
21.5,75.0,2020,8,69.37
21.5,75.625,2020,8,76.23
21.5,76.25,2020,8,80.6
21.5,76.875,2020,8,82.14
21.5,77.5,2020,8,85.56
21.5,78.125,2020,8,88.03
21.5,78.75,2020,8,89.21
21.5,79.375,2020,8,88.74
21.5,80.0,2020,8,86.02
21.5,80.625,2020,8,84.56
22.0,73.125,2020,8,65.25
22.0,73.75,2020,8,63.35
22.0,74.375,2020,8,67.93
22.0,75.0,2020,8,69.12
22.0,75.625,2020,8,74.26
22.0,76.25,2020,8,78.64
22.0,76.875,2020,8,79.13
22.0,77.5,2020,8,81.54
22.0,78.125,2020,8,86.74
22.0,78.75,2020,8,90.62
22.0,79.375,2020,8,91.46
22.0,80.0,2020,8,90.51
22.0,80.625,2020,8,88.14
20.0,73.125,2020,9,52.6
20.0,73.75,2020,9,65.06
20.0,74.375,2020,9,66.61
20.0,75.0,2020,9,65.57
20.0,75.625,2020,9,69.21
20.0,76.25,2020,9,71.7
20.0,76.875,2020,9,71.89
20.0,77.5,2020,9,72.95
20.0,78.125,2020,9,74.43
20.0,78.75,2020,9,77.83
20.0,79.375,2020,9,79.14
20.0,80.0,2020,9,79.96
20.0,80.625,2020,9,83.72
20.5,73.125,2020,9,51.5
20.5,73.75,2020,9,60.52
20.5,74.375,2020,9,64.52
20.5,75.0,2020,9,66.77
20.5,75.625,2020,9,71.77
20.5,76.25,2020,9,74.6
20.5,76.875,2020,9,73.03
20.5,77.5,2020,9,73.26
20.5,78.125,2020,9,74.37
20.5,78.75,2020,9,78.07
20.5,79.375,2020,9,78.72
20.5,80.0,2020,9,79.9
20.5,80.625,2020,9,84.47
21.0,73.125,2020,9,53.12
21.0,73.75,2020,9,57.5
21.0,74.375,2020,9,63.22
21.0,75.0,2020,9,66.16
21.0,75.625,2020,9,70.29
21.0,76.25,2020,9,72.43
21.0,76.875,2020,9,70.3
21.0,77.5,2020,9,69.94
21.0,78.125,2020,9,73.31
21.0,78.75,2020,9,78.27
21.0,79.375,2020,9,78.73
21.0,80.0,2020,9,77.46
21.0,80.625,2020,9,79.16
21.5,73.125,2020,9,53.75
21.5,73.75,2020,9,57.49
21.5,74.375,2020,9,63.05
21.5,75.0,2020,9,65.42
21.5,75.625,2020,9,69.84
21.5,76.25,2020,9,72.17
21.5,76.875,2020,9,69.84
21.5,77.5,2020,9,69.95
21.5,78.125,2020,9,72.45
21.5,78.75,2020,9,75.07
21.5,79.375,2020,9,77.56
21.5,80.0,2020,9,77.15
21.5,80.625,2020,9,76.91
22.0,73.125,2020,9,55.05
22.0,73.75,2020,9,55.62
22.0,74.375,2020,9,63.43
22.0,75.0,2020,9,65.15
22.0,75.625,2020,9,67.67
22.0,76.25,2020,9,70.07
22.0,76.875,2020,9,68.3
22.0,77.5,2020,9,68.94
22.0,78.125,2020,9,71.53
22.0,78.75,2020,9,74.06
22.0,79.375,2020,9,77.41
22.0,80.0,2020,9,78.33
22.0,80.625,2020,9,77.96
20.0,73.125,2020,10,53.05
20.0,73.75,2020,10,67.46
20.0,74.375,2020,10,69.08
20.0,75.0,2020,10,65.78
20.0,75.625,2020,10,66.39
20.0,76.25,2020,10,67.86
20.0,76.875,2020,10,66.43
20.0,77.5,2020,10,63.61
20.0,78.125,2020,10,61.84
20.0,78.75,2020,10,62.05
20.0,79.375,2020,10,62.99
20.0,80.0,2020,10,66.96
20.0,80.625,2020,10,74.86
20.5,73.125,2020,10,49.06
20.5,73.75,2020,10,60.66
20.5,74.375,2020,10,66.11
20.5,75.0,2020,10,66.09
20.5,75.625,2020,10,68.15
20.5,76.25,2020,10,69.07
20.5,76.875,2020,10,65.85
20.5,77.5,2020,10,63.65
20.5,78.125,2020,10,64.62
20.5,78.75,2020,10,65.2
20.5,79.375,2020,10,65.28
20.5,80.0,2020,10,68.72
20.5,80.625,2020,10,76.49
21.0,73.125,2020,10,50.42
21.0,73.75,2020,10,56.18
21.0,74.375,2020,10,62.91
21.0,75.0,2020,10,64.15
21.0,75.625,2020,10,65.94
21.0,76.25,2020,10,65.09
21.0,76.875,2020,10,60.17
21.0,77.5,2020,10,60.07
21.0,78.125,2020,10,63.29
21.0,78.75,2020,10,67.41
21.0,79.375,2020,10,66.06
21.0,80.0,2020,10,64.64
21.0,80.625,2020,10,68.06
21.5,73.125,2020,10,52.6
21.5,73.75,2020,10,54.32
21.5,74.375,2020,10,58.77
21.5,75.0,2020,10,60.35
21.5,75.625,2020,10,64.15
21.5,76.25,2020,10,64.27
21.5,76.875,2020,10,58.85
21.5,77.5,2020,10,59.07
21.5,78.125,2020,10,61.86
21.5,78.75,2020,10,65.56
21.5,79.375,2020,10,67.43
21.5,80.0,2020,10,65.57
21.5,80.625,2020,10,63.27
22.0,73.125,2020,10,53.55
22.0,73.75,2020,10,51.12
22.0,74.375,2020,10,55.89
22.0,75.0,2020,10,58.21
22.0,75.625,2020,10,61.27
22.0,76.25,2020,10,63.7
22.0,76.875,2020,10,59.48
22.0,77.5,2020,10,58.94
22.0,78.125,2020,10,59.97
22.0,78.75,2020,10,64.7
22.0,79.375,2020,10,69.67
22.0,80.0,2020,10,69.66
22.0,80.625,2020,10,66.99
20.0,73.125,2020,11,51.78
20.0,73.75,2020,11,64.8
20.0,74.375,2020,11,65.32
20.0,75.0,2020,11,61.31
20.0,75.625,2020,11,62.13
20.0,76.25,2020,11,61.37
20.0,76.875,2020,11,58.33
20.0,77.5,2020,11,56.98
20.0,78.125,2020,11,59.94
20.0,78.75,2020,11,64.6
20.0,79.375,2020,11,67.1
20.0,80.0,2020,11,69.93
20.0,80.625,2020,11,73.95
20.5,73.125,2020,11,48.48
20.5,73.75,2020,11,59.56
20.5,74.375,2020,11,64.59
20.5,75.0,2020,11,62.68
20.5,75.625,2020,11,64.82
20.5,76.25,2020,11,66.23
20.5,76.875,2020,11,62.37
20.5,77.5,2020,11,60.71
20.5,78.125,2020,11,62.79
20.5,78.75,2020,11,66.85
20.5,79.375,2020,11,68.45
20.5,80.0,2020,11,72.11
20.5,80.625,2020,11,78.25
21.0,73.125,2020,11,49.58
21.0,73.75,2020,11,55.49
21.0,74.375,2020,11,63.55
21.0,75.0,2020,11,63.47
21.0,75.625,2020,11,65.46
21.0,76.25,2020,11,66.65
21.0,76.875,2020,11,59.78
21.0,77.5,2020,11,57.91
21.0,78.125,2020,11,62.03
21.0,78.75,2020,11,66.94
21.0,79.375,2020,11,66.37
21.0,80.0,2020,11,66.22
21.0,80.625,2020,11,70.65
21.5,73.125,2020,11,52.0
21.5,73.75,2020,11,54.38
21.5,74.375,2020,11,61.5
21.5,75.0,2020,11,63.5
21.5,75.625,2020,11,66.77
21.5,76.25,2020,11,65.73
21.5,76.875,2020,11,56.12
21.5,77.5,2020,11,54.58
21.5,78.125,2020,11,57.87
21.5,78.75,2020,11,63.43
21.5,79.375,2020,11,65.78
21.5,80.0,2020,11,63.67
21.5,80.625,2020,11,61.53
22.0,73.125,2020,11,53.62
22.0,73.75,2020,11,52.28
22.0,74.375,2020,11,59.49
22.0,75.0,2020,11,62.74
22.0,75.625,2020,11,65.51
22.0,76.25,2020,11,65.19
22.0,76.875,2020,11,58.21
22.0,77.5,2020,11,55.23
22.0,78.125,2020,11,53.54
22.0,78.75,2020,11,58.69
22.0,79.375,2020,11,66.73
22.0,80.0,2020,11,67.32
22.0,80.625,2020,11,62.13
20.0,73.125,2020,12,54.94
20.0,73.75,2020,12,58.88
20.0,74.375,2020,12,56.86
20.0,75.0,2020,12,55.31
20.0,75.625,2020,12,56.89
20.0,76.25,2020,12,57.12
20.0,76.875,2020,12,54.88
20.0,77.5,2020,12,55.57
20.0,78.125,2020,12,58.33
20.0,78.75,2020,12,61.58
20.0,79.375,2020,12,63.55
20.0,80.0,2020,12,62.38
20.0,80.625,2020,12,62.07
20.5,73.125,2020,12,55.79
20.5,73.75,2020,12,58.27
20.5,74.375,2020,12,57.63
20.5,75.0,2020,12,57.26
20.5,75.625,2020,12,58.36
20.5,76.25,2020,12,59.77
20.5,76.875,2020,12,58.39
20.5,77.5,2020,12,59.75
20.5,78.125,2020,12,60.71
20.5,78.75,2020,12,62.65
20.5,79.375,2020,12,64.23
20.5,80.0,2020,12,67.07
20.5,80.625,2020,12,71.32
21.0,73.125,2020,12,58.86
21.0,73.75,2020,12,56.49
21.0,74.375,2020,12,59.28
21.0,75.0,2020,12,59.51
21.0,75.625,2020,12,59.52
21.0,76.25,2020,12,60.28
21.0,76.875,2020,12,58.07
21.0,77.5,2020,12,58.54
21.0,78.125,2020,12,60.32
21.0,78.75,2020,12,61.76
21.0,79.375,2020,12,60.32
21.0,80.0,2020,12,61.97
21.0,80.625,2020,12,66.79
21.5,73.125,2020,12,61.02
21.5,73.75,2020,12,56.12
21.5,74.375,2020,12,61.93
21.5,75.0,2020,12,62.34
21.5,75.625,2020,12,62.58
21.5,76.25,2020,12,60.48
21.5,76.875,2020,12,55.0
21.5,77.5,2020,12,54.5
21.5,78.125,2020,12,57.05
21.5,78.75,2020,12,58.28
21.5,79.375,2020,12,57.22
21.5,80.0,2020,12,54.16
21.5,80.625,2020,12,55.2
22.0,73.125,2020,12,60.94
22.0,73.75,2020,12,54.4
22.0,74.375,2020,12,60.55
22.0,75.0,2020,12,60.87
22.0,75.625,2020,12,60.62
22.0,76.25,2020,12,58.28
22.0,76.875,2020,12,51.76
22.0,77.5,2020,12,47.23
22.0,78.125,2020,12,48.11
22.0,78.75,2020,12,52.39
22.0,79.375,2020,12,55.78
22.0,80.0,2020,12,53.63
22.0,80.625,2020,12,50.57
20.0,73.125,2020,13,77.67
20.0,73.75,2020,13,75.86
20.0,74.375,2020,13,67.53
20.0,75.0,2020,13,58.42
20.0,75.625,2020,13,50.8
20.0,76.25,2020,13,51.29
20.0,76.875,2020,13,51.01
20.0,77.5,2020,13,49.74
20.0,78.125,2020,13,49.61
20.0,78.75,2020,13,52.24
20.0,79.375,2020,13,54.84
20.0,80.0,2020,13,54.64
20.0,80.625,2020,13,52.98
20.5,73.125,2020,13,78.29
20.5,73.75,2020,13,79.05
20.5,74.375,2020,13,71.01
20.5,75.0,2020,13,60.14
20.5,75.625,2020,13,52.88
