-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
20.0,73.125,2023,1,4.04
20.0,73.75,2023,1,4.36
20.0,74.375,2023,1,3.36
20.0,75.0,2023,1,3.47
20.0,75.625,2023,1,3.52
20.0,76.25,2023,1,3.56
20.0,76.875,2023,1,3.25
20.0,77.5,2023,1,3.18
20.0,78.125,2023,1,3.19
20.0,78.75,2023,1,3.33
20.0,79.375,2023,1,3.43
20.0,80.0,2023,1,3.55
20.0,80.625,2023,1,2.98
20.5,73.125,2023,1,4.34
20.5,73.75,2023,1,4.42
20.5,74.375,2023,1,3.58
20.5,75.0,2023,1,3.36
20.5,75.625,2023,1,3.32
20.5,76.25,2023,1,3.35
20.5,76.875,2023,1,3.23
20.5,77.5,2023,1,3.56
20.5,78.125,2023,1,3.84
20.5,78.75,2023,1,4.19
20.5,79.375,2023,1,4.24
20.5,80.0,2023,1,4.14
20.5,80.625,2023,1,4.24
21.0,73.125,2023,1,4.17
21.0,73.75,2023,1,4.9
21.0,74.375,2023,1,3.94
21.0,75.0,2023,1,3.4
21.0,75.625,2023,1,3.52
21.0,76.25,2023,1,3.49
21.0,76.875,2023,1,3.73
21.0,77.5,2023,1,4.61
21.0,78.125,2023,1,4.71
21.0,78.75,2023,1,4.83
21.0,79.375,2023,1,4.59
21.0,80.0,2023,1,4.55
21.0,80.625,2023,1,4.83
21.5,73.125,2023,1,3.84
21.5,73.75,2023,1,5.35
21.5,74.375,2023,1,4.37
21.5,75.0,2023,1,4.12
21.5,75.625,2023,1,4.33
21.5,76.25,2023,1,4.07
21.5,76.875,2023,1,4.6
21.5,77.5,2023,1,4.69
21.5,78.125,2023,1,4.95
21.5,78.75,2023,1,5.22
21.5,79.375,2023,1,5.02
21.5,80.0,2023,1,4.34
21.5,80.625,2023,1,3.76
