-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2019 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M_MAX
20.0,73.125,2019,1,6.05
20.0,73.75,2019,1,5.42
20.0,74.375,2019,1,4.34
20.0,75.0,2019,1,4.04
20.0,75.625,2019,1,3.9
20.0,76.25,2019,1,3.75
20.0,76.875,2019,1,3.46
20.0,77.5,2019,1,3.25
20.0,78.125,2019,1,2.87
20.0,78.75,2019,1,2.82
20.0,79.375,2019,1,2.86
20.0,80.0,2019,1,2.96
20.0,80.625,2019,1,2.6
20.5,73.125,2019,1,5.58
20.5,73.75,2019,1,5.55
20.5,74.375,2019,1,4.57
20.5,75.0,2019,1,4.28
20.5,75.625,2019,1,4.08
20.5,76.25,2019,1,3.59
20.5,76.875,2019,1,3.45
20.5,77.5,2019,1,2.96
20.5,78.125,2019,1,2.83
20.5,78.75,2019,1,3.32
20.5,79.375,2019,1,2.97
20.5,80.0,2019,1,3.16
20.5,80.625,2019,1,3.02
21.0,73.125,2019,1,4.64
21.0,73.75,2019,1,5.4
21.0,74.375,2019,1,4.42
21.0,75.0,2019,1,3.37
21.0,75.625,2019,1,3.29
21.0,76.25,2019,1,3.32
21.0,76.875,2019,1,3.03
21.0,77.5,2019,1,3.07
21.0,78.125,2019,1,3.06
21.0,78.75,2019,1,3.64
21.0,79.375,2019,1,3.39
21.0,80.0,2019,1,3.27
21.0,80.625,2019,1,3.13
21.5,73.125,2019,1,4.11
21.5,73.75,2019,1,4.91
21.5,74.375,2019,1,3.9
21.5,75.0,2019,1,3.33
21.5,75.625,2019,1,2.98
21.5,76.25,2019,1,2.79
21.5,76.875,2019,1,3.0
21.5,77.5,2019,1,2.9
21.5,78.125,2019,1,2.69
21.5,78.75,2019,1,3.04
21.5,79.375,2019,1,3.35
21.5,80.0,2019,1,3.17
21.5,80.625,2019,1,3.02
22.0,73.125,2019,1,3.87
22.0,73.75,2019,1,4.88
22.0,74.375,2019,1,4.39
22.0,75.0,2019,1,3.56
22.0,75.625,2019,1,3.07
22.0,76.25,2019,1,2.4
22.0,76.875,2019,1,2.8
22.0,77.5,2019,1,3.22
22.0,78.125,2019,1,2.73
22.0,78.75,2019,1,2.37
22.0,79.375,2019,1,2.8
22.0,80.0,2019,1,3.13
22.0,80.625,2019,1,3.3
20.0,73.125,2019,2,4.03
20.0,73.75,2019,2,3.54
20.0,74.375,2019,2,3.46
20.0,75.0,2019,2,3.36
20.0,75.625,2019,2,3.3
20.0,76.25,2019,2,3.35
20.0,76.875,2019,2,3.46
20.0,77.5,2019,2,3.21
20.0,78.125,2019,2,2.79
20.0,78.75,2019,2,2.67
20.0,79.375,2019,2,2.82
20.0,80.0,2019,2,3.03
20.0,80.625,2019,2,2.97
20.5,73.125,2019,2,4.24
20.5,73.75,2019,2,3.74
20.5,74.375,2019,2,3.4
20.5,75.0,2019,2,3.77
20.5,75.625,2019,2,4.35
20.5,76.25,2019,2,4.32
